date,weather_code,weather_description,temperature_max,temperature_min,sunrise,sunset,daylight_duration_s,daylight_duration_h
2026-01-20 23:00:00+00:00,51,Light drizzle,9.75,4.95,2026-01-21 08:37:08+01:00,2026-01-21 17:20:57+01:00,31423.74,8.728817
2026-01-21 23:00:00+00:00,51,Light drizzle,9.0,5.05,2026-01-22 08:36:04+01:00,2026-01-22 17:22:32+01:00,31582.992,8.773053
2026-01-22 23:00:00+00:00,3,Overcast,8.3,5.45,2026-01-23 08:34:57+01:00,2026-01-23 17:24:09+01:00,31746.777,8.818549
2026-01-23 23:00:00+00:00,3,Overcast,9.5,3.0,2026-01-24 08:33:47+01:00,2026-01-24 17:25:47+01:00,31915.178,8.865327
2026-01-24 23:00:00+00:00,3,Overcast,5.55,1.7,2026-01-25 08:32:34+01:00,2026-01-25 17:27:27+01:00,32087.893,8.913303
2026-01-25 23:00:00+00:00,51,Light drizzle,4.1,0.35,2026-01-26 08:31:18+01:00,2026-01-26 17:29:08+01:00,32264.645,8.962401
2026-01-26 23:00:00+00:00,63,Moderate rain,7.35,2.2,2026-01-27 08:29:59+01:00,2026-01-27 17:30:51+01:00,32445.127,9.012535
2026-01-27 23:00:00+00:00,3,Overcast,7.1,2.65,2026-01-28 08:28:39+01:00,2026-01-28 17:32:34+01:00,32629.078,9.063633
2026-01-28 23:00:00+00:00,51,Light drizzle,4.95,3.25,2026-01-29 08:27:15+01:00,2026-01-29 17:34:18+01:00,32816.22,9.115616
2026-01-29 23:00:00+00:00,51,Light drizzle,7.8,2.4,2026-01-30 08:25:50+01:00,2026-01-30 17:36:03+01:00,33006.285,9.168412
2026-01-30 23:00:00+00:00,51,Light drizzle,10.25,6.15,2026-01-31 08:24:23+01:00,2026-01-31 17:37:48+01:00,33199.016,9.221949
2026-01-31 23:00:00+00:00,51,Light drizzle,8.4,5.55,2026-02-01 08:22:53+01:00,2026-02-01 17:39:34+01:00,33394.152,9.276154
2026-02-01 23:00:00+00:00,51,Light drizzle,8.8,4.95,2026-02-02 08:21:22+01:00,2026-02-02 17:41:20+01:00,33591.46,9.330961
2026-02-02 23:00:00+00:00,53,Moderate drizzle,9.15,2.6,2026-02-03 08:19:49+01:00,2026-02-03 17:43:07+01:00,33790.695,9.386304
2026-02-03 23:00:00+00:00,3,Overcast,12.0,4.8,2026-02-04 08:18:15+01:00,2026-02-04 17:44:53+01:00,33991.613,9.442115
2026-02-04 23:00:00+00:00,51,Light drizzle,9.5,4.65,2026-02-05 08:16:39+01:00,2026-02-05 17:46:40+01:00,34193.996,9.498332
2026-02-05 23:00:00+00:00,61,Slight rain,12.2,7.3,2026-02-06 08:15:02+01:00,2026-02-06 17:48:26+01:00,34397.625,9.554895
2026-02-06 23:00:00+00:00,3,Overcast,11.8,6.45,2026-02-07 08:13:23+01:00,2026-02-07 17:50:12+01:00,34602.277,9.611744
2026-02-07 23:00:00+00:00,3,Overcast,12.6,5.15,2026-02-08 08:11:44+01:00,2026-02-08 17:51:58+01:00,34807.74,9.668817
2026-02-08 23:00:00+00:00,3,Overcast,9.0,4.3,2026-02-09 08:10:03+01:00,2026-02-09 17:53:44+01:00,35013.812,9.726059
2026-02-09 23:00:00+00:00,53,Moderate drizzle,11.55,6.4,2026-02-10 08:08:21+01:00,2026-02-10 17:55:28+01:00,35220.3,9.783417
2026-02-10 23:00:00+00:00,63,Moderate rain,11.15,9.35,2026-02-11 08:06:39+01:00,2026-02-11 17:57:13+01:00,35427.29,9.840914
2026-02-11 23:00:00+00:00,63,Moderate rain,11.25,8.026,2026-02-12 08:04:54+01:00,2026-02-12 17:58:57+01:00,35636.707,9.899085
2026-02-12 23:00:00+00:00,61,Slight rain,8.226,3.526,2026-02-13 08:03:07+01:00,2026-02-13 18:00:42+01:00,35848.723,9.957978
2026-02-13 23:00:00+00:00,71,Light snow,4.126,-0.62399995,2026-02-14 08:01:17+01:00,2026-02-14 18:02:28+01:00,36063.113,10.017531
2026-02-14 23:00:00+00:00,-9223372036854775808,,,,2026-02-15 07:59:26+01:00,2026-02-15 18:04:13+01:00,36279.652,10.077682
2026-02-15 23:00:00+00:00,-9223372036854775808,,,,2026-02-16 07:57:33+01:00,2026-02-16 18:05:59+01:00,36498.125,10.138368
2026-02-16 23:00:00+00:00,-9223372036854775808,,,,2026-02-17 07:55:38+01:00,2026-02-17 18:07:44+01:00,36718.31,10.199531
