name;type;description;build_date;heritage;wikipedia;religion;denomination;ref_mhs;city;department;region;latitude;longitude
Fanny Banach née Tobias;memorial;;2024-09-20;;;;;;Lille;Nord;Hauts-de-France;50.6297313872253;3.05554522789367
Monument aux Morts d'Hellemmes;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.6250020659977;3.11690025620962
Château Fanyau;castle;;;;;;;;Lille;Nord;Hauts-de-France;50.6281319565486;3.10850046902498
Michael Trotobas dit Capitaine Michel;memorial;;2026-01-23;;;;;;Lille;Nord;Hauts-de-France;50.620998952861;3.07856805279746
Église Saint-Sauveur;place_of_worship;;;;fr:Église Saint-Sauveur de Lille;christian;catholic;;Lille;Nord;Hauts-de-France;50.6315335157672;3.07281742251597
Monument aux morts de Lomme;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.6422770846193;3.01436435086899
Vestiges de l'ancien tramway de Lille;yes;;;;;;;;Lille;Nord;Hauts-de-France;50.6395438298134;3.07136699214303
Chapelle Saint-Joseph;place_of_worship;;;;;christian;;;Lille;Nord;Hauts-de-France;50.6214770566181;3.05883193976607
Vestiges de l'ancienne collégiale Saint-Pierre;ruins;Collégiale Saint-Pierre (vestiges de l'ancienne) (cad. A 458) : classement par arrêté du 3 février 1971;;2;fr:Collégiale Saint-Pierre de Lille;;;PA00107574;Lille;Nord;Hauts-de-France;50.6421481709484;3.06260103016612
Lille à ses Fusillés;memorial;;;;fr:Les Fusillés lillois;;;;Lille;Nord;Hauts-de-France;50.6377384936;3.05167769204098
Lipa Lambig;memorial;;2023-05-12;;;;;;Lille;Nord;Hauts-de-France;50.6321059803943;3.05730886414042
Riwka Rozenpik née Szermann;memorial;;2024-06-14;;;;;;Lille;Nord;Hauts-de-France;50.6331612620039;3.05671156972028
Calvaire du Dieu de Marcq;wayside_cross;;;;;;;;Lille;Nord;Hauts-de-France;50.6478156785982;3.08574178844754
Monument de la famille Legrand;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.6324307791423;3.08550935827256
;fountain;;;;;;;;Lille;Nord;Hauts-de-France;50.6311877429017;3.06159126229079
;memorial;;;;;;;;Lille;Nord;Hauts-de-France;50.6273943449824;3.10901816592232
