name;type;description;stars;website;phone;city;department;region;latitude;longitude
Grand Hotel Bellevue;hotel;;;;;Lille;Nord;Hauts-de-France;50.6366688764403;3.06263798417164
Hôtel Chagnot;hotel;;3;;;Lille;Nord;Hauts-de-France;50.6361219178429;3.06935977779008
Aparthotel Adagio Lille Centre Grand Place;hotel;;4;https://www.adagio-city.com/fr/hotel-a0w9-aparthotel-adagio-lille-centre-grand-place.shtml;+33374090301;Lille;Nord;Hauts-de-France;50.635477936222;3.05999467737431
Comfort;hotel;;;;;Lille;Nord;Hauts-de-France;50.6472954976873;2.97582402480103
Résidence Orfea Lille;hotel;;;;+33 3 28 38 90 01;Lille;Nord;Hauts-de-France;50.6380989573444;3.0731380882836
Hôtel Saint-Maurice;hotel;;2;;;Lille;Nord;Hauts-de-France;50.6355501371225;3.06786231115932
Hôtel Casino Barrière Lille;hotel;;5;https://www.hotelsbarriere.com/fr/lille/hotel-barriere.html;+33328144500;Lille;Nord;Hauts-de-France;50.6362997585064;3.07748487430491
Moxy Lille City;hotel;;3;;;Lille;Nord;Hauts-de-France;50.6279760490627;3.06357148691555
Brit Hotel Lille Centre;hotel;;3;https://hotel-lille.brithotel.fr/;+33320540002;Lille;Nord;Hauts-de-France;50.6262677333769;3.05192776612205
Hôtel Carlton;hotel;;4;;;Lille;Nord;Hauts-de-France;50.6367617923311;3.06535549118698
Okko Hôtel - Lille Centre;hotel;;4;https://www.okkohotels.com/fr/page/lille/okko-hotels-lille-centre.3097.html;+33 3 20 48 19 40;Lille;Nord;Hauts-de-France;50.6340979396835;3.06431563227929
Coke;hotel;;;http://apparthotellille.fr/;+33 3 20 20 20 20;Lille;Nord;Hauts-de-France;50.6379301458145;3.0587852525654
13 Chemin des broutteux;apartment;;;;;Lille;Nord;Hauts-de-France;50.6049760229355;3.05242573498958
Lille City Hotel;hotel;;3;;;Lille;Nord;Hauts-de-France;50.633533921419;3.0632657989068
Hôtel Campanile Lille Sud - CHR;hotel;;3;http://www.campanile-lille-sud-chr.fr/fr/rooms.aspx;+33320533055;Lille;Nord;Hauts-de-France;50.6151920547401;3.03742752483269
B&B Hôtel;hotel;;2;https://www.hotel-bb.com/fr/hotels/lille-centre-grand-palais.htm;+33 8 92 70 22 06;Lille;Nord;Hauts-de-France;50.6277552654069;3.08200126400808
Gentilhome;guest_house;;;;;Lille;Nord;Hauts-de-France;50.6422096941178;3.08912505984449
Ibis Budget Lille Centre;hotel;;2;https://all.accor.com/hotel/5208/index.fr.shtml;;Lille;Nord;Hauts-de-France;50.642492834807;3.06795983232203
Hôtel Adagio Access Lille Vauban;hotel;;2;;;Lille;Nord;Hauts-de-France;50.632831434114;3.04952752432928
Best Western Lille Grand Palais;hotel;;3;;;Lille;Nord;Hauts-de-France;50.6232816803713;3.07580923318693
Suite Novotel;hotel;;3;;;Lille;Nord;Hauts-de-France;50.6389777072551;3.07683498660551
Treille's Appart;guest_house;;;;;Lille;Nord;Hauts-de-France;50.6330601762516;3.08807044878722
Novotel Lille-Centre - Grand Place;hotel;;3;http://www.novotel.com/fr/hotel-0918-novotel-lille-centre-grand-place/index.shtml;+33328385353;Lille;Nord;Hauts-de-France;50.6367078436063;3.05922556327133
Brueghel;hotel;;3;;;Lille;Nord;Hauts-de-France;50.6360936806246;3.06681241842975
greet hotel Lille Gare Flandres;hotel;;3;https://all.accor.com/hotel/B943/index.fr.shtml;+33 3 20 31 55 52;Lille;Nord;Hauts-de-France;50.6355356875349;3.0697848241
