from,to,departure,arrival,duration_hours,price,departure_station,arrival_station
Paris,Lille,11-02-2026 06:35,11-02-2026 09:03,2.47,0.0,Paris - Gare de Lyon - Hall 1 & 2 (Paris),Lillers (Lillers)
Paris,Lille,11-02-2026 07:35,11-02-2026 09:34,1.98,0.0,Paris - Gare de Lyon - Hall 1 & 2 (Paris),Lillers (Lillers)
Paris,Lille,11-02-2026 07:30,11-02-2026 09:34,2.07,0.0,Paris - Gare de Lyon - Hall 1 & 2 (Paris),Lillers (Lillers)
Paris,Lille,11-02-2026 08:30,11-02-2026 11:23,2.88,0.0,Paris - Gare de Lyon - Hall 1 & 2 (Paris),Lillers (Lillers)
Paris,Lille,11-02-2026 10:37,11-02-2026 12:33,1.93,0.0,Paris - Gare de Lyon - Hall 1 & 2 (Paris),Lillers (Lillers)
Paris,Lille,11-02-2026 10:35,11-02-2026 12:33,1.97,0.0,Paris - Gare de Lyon - Hall 1 & 2 (Paris),Lillers (Lillers)
Paris,Lille,11-02-2026 12:05,11-02-2026 14:09,2.07,0.0,Paris - Gare de Lyon - Hall 1 & 2 (Paris),Lillers (Lillers)
Paris,Lille,11-02-2026 12:39,11-02-2026 16:54,4.25,0.0,Paris - Gare de Lyon - Hall 1 & 2 (Paris),Lillers (Lillers)
Paris,Lille,11-02-2026 14:14,11-02-2026 17:03,2.82,0.0,Paris - Gare de Lyon - Hall 1 & 2 (Paris),Lillers (Lillers)
Paris,Lille,11-02-2026 12:07,11-02-2026 17:03,4.93,0.0,Paris - Gare de Lyon - Hall 1 & 2 (Paris),Lillers (Lillers)
Lille,Paris,14-02-2026 08:11,14-02-2026 10:22,2.18,0.0,,
Lille,Paris,14-02-2026 08:11,14-02-2026 10:25,2.23,0.0,,
Lille,Paris,14-02-2026 08:11,14-02-2026 12:12,4.02,0.0,,
Lille,Paris,14-02-2026 10:16,14-02-2026 12:22,2.1,0.0,,
Lille,Paris,14-02-2026 10:16,14-02-2026 12:25,2.15,0.0,,
Lille,Paris,14-02-2026 10:50,14-02-2026 14:37,3.78,0.0,,
Lille,Paris,14-02-2026 10:50,14-02-2026 14:52,4.03,0.0,,
Lille,Paris,14-02-2026 12:47,14-02-2026 15:22,2.58,0.0,,
Lille,Paris,14-02-2026 12:47,14-02-2026 15:25,2.63,0.0,,
Lille,Paris,14-02-2026 14:10,14-02-2026 17:37,3.45,0.0,,
